kode,nama,tarif,fee_trp
1,Sulam Alis Ombre Powder                           ,700000,0
2,Retouch Sulam Alis                                ,300000,0
3,Eyelash Single                                    ,95000,5
4,Eyelash Russian                                   ,120000,5
5,Eyelash Mega Volume                               ,135000,5
6,Retouch Eyelash                                   ,45000,5
7,Remove Eyelash                                    ,50000,5
8,Menicure                                          ,40000,10
9,Pedicure                                          ,45000,10
10,Nail Polos Tangan                                 ,40000,5
11,Nail Remover                                      ,45000,5
12,Nail Gambar + Aksesoris                           ,65000,5
13,Nail Extension Nail Tip                           ,120000,5
14,Nail Exension Poly Gel                            ,130000,5
15,Totok Wajah                                       ,35000,10
16,Totok Wajah&Masker                                ,70000,10
17,Facial Basic                                      ,99000,5
18,Facial Vit C                                      ,125000,5
19,Facial Whitening                                  ,135000,5
20,Facial Acne                                       ,135000,5
21,Facial Anti Aging                                 ,150000,5
22,Cuci Dry+Vit                                      ,25000,10
23,Cuci Catok/Curly                                  ,35000,10
24,Creambath                                         ,135000,10
25,Hair Mask                                         ,145000,5
26,Refleksi                                          ,70000,10
27,Ratus                                             ,55000,10
28,Body Massage                                      ,130000,10
29,Body SPA Coklat                                   ,175000,10
30,Body SPA Greentea                                 ,185000,10
31,Body SPA Whitening                                ,200000,10
32,Waxing Ketiak                                     ,60000,10
33,Waxing Tangan                                     ,70000,10
34,Waxing Kaki                                       ,85000,10
35,Eyelash Double                                    ,110000,5
36,Hair Keratin                                      ,230000,0
37,Sulam Tahi Lalat                                  ,35000,0
39,Nail Polos Kaki                                   ,40000,5
40,Potong Rambut+Cuci                                ,25000,0
41,Potong Rambut+Cuci+Styling                        ,35000,0
42,Pewarnaan                                         ,100000,0